Department Ref Number,Construction Activity (Y/N),County,Development Name,Address 1,Address 2,Planning Ref,Planning Date,Planning Expiry Date,Detached Units,Semi-detached Units,Terraced Units,Apartment Units,Duplex Units,Total All Units,Occupied Houses,Vacant Houses,Near Complete Active Houses,Near Complete Not Active Houses,Wall Plate Active Houses,Wall Plate Not Active Houses,DPC Active Houses,DPC Not Active Houses,Founds Active Houses,Founds Not Active Houses,No Start Houses,Planning Expired Houses,Occupied Apartments,Vacant Apartments,Near Complete Active Apartments,Near Complete Not Active Apartments,Wall Plate Active Apartments,Wall Plate Not Active Apartments,DPC Active Apartments,DPC Not Active Apartments,Founds Active Apartments,Founds Not Active Apartments,No Start Apartments,Plannig Expired Apt,Roads Complete,Road Base Complete,Roads None,Footpaths Complete,Footpaths Not Complete,Lighting Complete,Lighting Not Complete,Water Potable,Water Storm,Water Waste,No OS Areas In Planning Permission,OS Area Complete,OS Area Levelled,OS Area Untouched,Survey Date,Building Site Only,,Occupied Houses Impacted,Occupied Apartments Impacted
2273,No,Roscommon,Ashburton Grove,Boherbui Road,Ballaghaderreen,41038,24/11/2004,23/11/2009,2,6,0,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,4,4,1,0,0,1,16/08/2017,No,,0,0
2274,No,Roscommon,Ashfield,Greatmeadow,Boyle,"0032, 001957","09/08/00, 28/06/01",27/06/2007,32,0,0,0,0,32,24,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27,0,27,27,27,2,1,0,1,04/08/2017,No,,1,0
2276,No,Roscommon,Ashwood,Srah,Knockcroghery,02373 & 04/1089,18/11/2002,06/12/2015,4,18,6,0,0,28,6,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,10,0,10,0,10,10,10,2,1,1,0,25/07/2017,No,,3,0
2277,No,Roscommon,Baile Na Mona,Ballinlough,Ballinlough,3787,15/12/2003,14/12/2008,0,0,13,5,0,18,0,5,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,10,10,10,5,0,1,4,25/07/2017,Yes,1,0,0
2280,No,Roscommon,"Development under PP ref. 04/2080
",Rosmeen,Ballintober,Apr-80,13/02/2005,,9,0,0,0,0,9,0,0,0,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,2,2,1,0,1,0,25/07/2017,Yes,1,0,0
2281,No,Roscommon,"Development under PP ref. 00/1728
",Boyle Road,Frenchpark,00/1728,30/08/2001,29/08/2006,5,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,3,3,3,1,0,1,0,29/08/2017,No,,1,0
2304,No,Roscommon,Coillte Bo,Cultyboe,Loughlynn,1191,04/08/2000,31/10/2011,6,24,0,0,0,30,13,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,17,0,17,17,17,3,3,0,0,29/08/2017,No,,0,0
2309,No,Roscommon,"Development under PP ref. 04/2621, 04/2270",Farnbeg,Strokestown,"04/2621, 04/2270","01/11/05, 09/11/05",08/11/2010,6,0,0,0,0,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,2,2,1,0,1,0,29/08/2017,Yes,1,0,0
2314,No,Roscommon,Farm Road,Farm Road,Ballinlough,00/276,06/09/2000,05/09/2005,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25/07/2017,Yes,1,0,0
2316,No,Roscommon,Forest Park Manor,Old Carrick Road,Boyle,PL20.20750,12/01/2005,11/01/2010,16,40,6,0,0,62,12,2,0,14,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,14,14,14,14,4,2,0,2,04/08/2017,No,,3,0
