No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
101,SHIP CONSTRUCTION,Cork County,"Model Village, Dripsey",6,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
102,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
103,SHIP CONSTRUCTION,Cork County,"Droum, Castletownbere",2,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
104,SHIP CONSTRUCTION,Cork County,Castle Treasure Grove,1,N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
105,SHIP CONSTRUCTION,Cork County,"Newtown, Bantry",1,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
106,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",52,N/A,,,,,Q4-2017,
107,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,N/A,,,,,,Q4-2017
108,SHIP CONSTRUCTION TURNKEY,Cork County,Bantry,30,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
109,SHIP CONSTRUCTION TURNKEY,Cork County,"CulAird, Carraigtwohill",29,N/A,,,,,,Q4-2017
110,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road, Carrigtwohill",25,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
111,SHIP CONSTRUCTION TURNKEY,Cork County,Kanturk,25,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
112,SHIP CONSTRUCTION TURNKEY,Cork County,"St. Mary?s Road, Dunmanway",20,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
113,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 2)",16,N/A,,,,,,Q1-2017
114,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 3)",12,N/A,,,,,,Q4-2017
115,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 1)",12,N/A,,,,,,Q1-2017
116,SHIP CONSTRUCTION TURNKEY,Cork County,"Inis Alainn & Castleoaks, Bandon",11,N/A,,,,,,Q4-2017
117,SHIP CONSTRUCTION TURNKEY,Cork County,"Downeen Cross, Rosscarbery",7,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
118,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",6,N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
119,SHIP CONSTRUCTION TURNKEY,Cork County,Beacon Point,6,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
120,SHIP CONSTRUCTION TURNKEY,Cork County,Corrin View,6,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
121,SHIP CONSTRUCTION TURNKEY,Cork County,"Gleann Tuairigh, Youghal",2,N/A,,,,,Q4-2017,
122,SHIP CONSTRUCTION TURNKEY,Cork County,"Clondulane, Fermoy",2,N/A,,,,,,Q4-2017
123,CALF CONSTRUCTION,DLR,"Clays Farm, Ballyogan Road (Phase 1)* ",44,The Iveagh Trust,,,,Scheme approved for CALF funding Q4-2017 ,,
124,CALF CONSTRUCTION,DLR,"Abbeyview House, Monkstown",8,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2015,,
125,CALF CONSTRUCTION ,DLR,Respond & Tuath Project Dublin 18 area.,56,Respond!,,,,Scheme approved for CALF funding Q1-2017,,
126,CALF CONSTRUCTION TURNKEY,DLR,Respond & Tuath Project Dublin 18 area.,49,Túath Housing Association,,,,Scheme approved for CALF funding Q1-2017,,
127,CALF CONSTRUCTION TURNKEY,DLR,"Hyde Road, Belmont, Stepaside",8,Respond!,,,,,Q3-2016,
128,CALF CONSTRUCTION TURNKEY,DLR,"Bishops Gate, Kilternan, Dublin 18",6,Cluid Housing Association,,,,,Q3-2017,
129,CALF CONSTRUCTION TURNKEY,DLR,"The Avenue, Glenside, Carrickmines Green, Dublin 18 *",5,Fold Ireland Housing Association,,,,,Q3-2017,
130,CALF CONSTRUCTION TURNKEY,DLR,"Woodbank, Dublin Rd, Shankill *",4,Cluid Housing Association,,,,,,Q3-2017
131,CALF CONSTRUCTION TURNKEY,DLR,"Stillorgan Gate, Kilmacud Road Upper, Co. Dublin *",4,Cluid Housing Association,,,,,,Q4-2017
132,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God Housing Association Ltd,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
133,SHIP CONSTRUCTION,DLR,Fitzgerald Park,50,N/A,,,,,Q4-2016,
134,SHIP CONSTRUCTION,DLR,Rosemount Court,44,N/A,,,,,Q4-2016,
135,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 2),34,N/A,,,,,,Q1-2016
