No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Practical Completion
591,SHIP CONSTRUCTION,Mayo,Kilmeena (Phase 2),4,N/A,,,,,Q3-2017,
592,SHIP CONSTRUCTION,Mayo,"Radharc an tSaillin, Binghamstown, Belmullet (Phase 2)",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
593,SHIP CONSTRUCTION,Mayo,"Woodlands, Balla (Phase 3)",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
594,SHIP CONSTRUCTION,Mayo,"Tonragee West, Achill (Phase 2)",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
595,SHIP CONSTRUCTION,Mayo,"Marian Crescent, Ballina",4,N/A,,,,,Q2-2017,
596,SHIP CONSTRUCTION,Mayo,"Market Street, Swinford",2,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
597,SHIP CONSTRUCTION,Mayo,"Knocknageeha, Newport",1,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
598,SHIP CONSTRUCTION,Mayo,"St. Patrick's Tce., Westport",1,N/A,,,,,,Q2-2017
599,SHIP CONSTRUCTION,Mayo,"Barhauve, Rossport (SRD)",1,N/A,,,,,Q4-2016,
600,SHIP CONSTRUCTION,Mayo,"Glaggaun, Ballycroy (SRD)",1,N/A,,,,,,Q4-2017
601,SHIP CONSTRUCTION,Mayo,"Glengad, Pollatomish (SRD)",1,N/A,,,,,Q4-2016,
602,SHIP CONSTRUCTION,Mayo,"Gorthbrack, Inver (SRD)",1,N/A,,,,,Q4-2016,
603,SHIP CONSTRUCTION TURNKEY,Mayo,"Slinaunroe, Clogher (SRD)",1,N/A,,,,,,Q2-2017
604,CALF CONSTRUCTION,Meath,"Millrace Court, Emmet Street, Trim, Co Meath ",11,North  East Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017 ,,
605,CALF CONSTRUCTION,Meath,"Cherryvalley, Raghmoylan, Co. Meath",9,Cluid Housing Association,,,,,,Q4-2017
606,CALF CONSTRUCTION,Meath,"Kellets Grove, Dunshauglin, Co Meath ",6,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017 ,,
607,CALF CONSTRUCTION TURNKEY,Meath,"Dunville, Athlumney, Co. Meath",64,Túath Housing Association,,,,,Q3-2017,
608,CALF CONSTRUCTION TURNKEY,Meath,"Fitzherbert Wood, Slane Rd., Navan, Co. Meath",44,Túath Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
609,CALF CONSTRUCTION TURNKEY,Meath,"Dun Eimear, Bettytown",30,Túath Housing Association,,,,,Q3-2017,
610,CALF CONSTRUCTION TURNKEY,Meath,"Seabury Lawns, Mornington",25,Cluid Housing Association,,,,,,Q3-2017
611,CALF CONSTRUCTION TURNKEY,Meath,"Tubberclaire, Navan",23,Cluid Housing Association,,,,,,Q2-2016
612,CALF CONSTRUCTION TURNKEY,Meath,"Mill Lane, Flower Hill, Navan",20,Oaklee Housing Trust,,,,,,Q1-2016
613,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 4,20,Cluid Housing Association,,,,,,Q4-2017
614,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 3,18,Cluid Housing Association,,,,,,Q4-2017
615,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 2,18,Cluid Housing Association,,,,,,Q4-2017
616,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 1,11,Cluid Housing Association,,,,,,Q1-2017
617,CALF CONSTRUCTION TURNKEY,Meath,"Blackcastle, Slane Road, Navan",9,Túath Housing Association,,,,,Q3-2017,
618,CALF CONSTRUCTION TURNKEY,Meath,"Churchfields, Ashbourne *",8,Túath Housing Association,,,,,,Q2-2017
619,CALF CONSTRUCTION TURNKEY,Meath,"Grangehall, Dunshaughlin",7,Túath Housing Association,,,,,Q1-2017,
620,CALF CONSTRUCTION TURNKEY,Meath,"Seabury Lawns, Mornington",6,Cluid Housing Association,,,,,Q1-2017,
621,CALF CONSTRUCTION TURNKEY,Meath,"Royal Oaks, Enfield *",4,Cluid Housing Association,,,,,,Q2-2017
622,CALF CONSTRUCTION TURNKEY,Meath,"27 Ardmore Rise, Bettystown",1,North East Housing Association Ltd,,,,,Q1-2017,
623,CAS CONSTRUCTION,Meath,"Blackcastle, Slane Road, Navan",17,Túath Housing Association,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
624,SHIP CONSTRUCTION,Meath,"Riverside, Kells",40,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
625,SHIP CONSTRUCTION,Meath,"Connaught Grove, Athboy",32,N/A,,,,,Q3-2017,
626,SHIP CONSTRUCTION,Meath,Dunshaughlin,25,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
627,SHIP CONSTRUCTION,Meath,Donore,20,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
628,SHIP CONSTRUCTION,Meath,"Cherry Court, Summerhill",19,N/A,,,,,Q4-2017,
629,SHIP CONSTRUCTION,Meath,Nobber,19,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
630,SHIP CONSTRUCTION,Meath,Ratoath,17,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
631,SHIP CONSTRUCTION,Meath,Bettystown (Phase 1),16,N/A,,,,,,Q3-2017
632,SHIP CONSTRUCTION,Meath,Bettystown (Phase 2),12,N/A,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
633,SHIP CONSTRUCTION,Meath,Carlanstown,10,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
634,SHIP CONSTRUCTION,Meath,"Proudstown Road, Navan",4,N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
635,SHIP CONSTRUCTION RAPID,Meath,Oldcastle,15,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
636,SHIP CONSTRUCTION RAPID,Meath,Cortown,10,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
637,SHIP CONSTRUCTION RAPID,Meath,Kilmainhamwood,4,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
638,CALF CONSTRUCTION,Monaghan,"Liseggerton Road, Clones",6,Oaklee Housing Trust,,,,,Q2-2017,
639,CALF CONSTRUCTION TURNKEY,Monaghan,"Kingscourt Road, Carrickmacross, Co. Monaghan",50,Respond!,,,,,Q3-2017,
640,CALF CONSTRUCTION TURNKEY,Monaghan,"Magheross, Carrickmacross *",33,Túath Housing Association,,,,,Q2-2017,
641,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",16,Oaklee Housing Trust,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
642,CAS CONSTRUCTION,Monaghan,"Convent Lands, Carrickmacross",7,Respond!,,,,,,Q2-2017
643,CAS CONSTRUCTION,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
644,SHIP CONSTRUCTION,Monaghan,"Latlorcan, Monaghan Town",43,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
645,SHIP CONSTRUCTION,Monaghan,"Bree, Castleblayney",8,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
646,SHIP CONSTRUCTION TURNKEY,Monaghan,"Drumbear Wood, Monaghan Town",12,N/A,,,,,,Q4-2017
647,SHIP CONSTRUCTION TURNKEY,Monaghan,"Maple Grove, Smithborough",12,N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
648,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 2)",8,N/A,,,,,,Q2-2017
649,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan  Town (Phase 1)",8,N/A,,,,,,Q2-2017
650,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 3)",6,N/A,,,,,,Q4-2017
651,SHIP CONSTRUCTION TURNKEY,Monaghan,"The Meadows, Smithborough",5,N/A,,,,,,Q4-2017
652,SHIP CONSTRUCTION TURNKEY,Monaghan,"Killycard, Bree, Castleblaney",4,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
653,CALF CONSTRUCTION,Offaly,"Kearney's Field, Tullamore",53,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1-2017,,
654,CALF CONSTRUCTION,Offaly,"Killane Drive, Edenderry",25,Túath Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
655,CAS CONSTRUCTION,Offaly,"Clonminch, Tullamore",20,Oaklee Housing Trust,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
656,CAS CONSTRUCTION,Offaly,"Scurragh, Birr",6,Cluid Housing Association,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
657,CAS CONSTRUCTION,Offaly,Mountbolus,4,Mid Offaly Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
658,CAS CONSTRUCTION,Offaly,"Killane Drive, Edenderry",2,Túath Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
659,SHIP CONSTRUCTION,Offaly,"Blundell Wood, Edenderry",33,N/A,,,,,Q4-2017,
660,SHIP CONSTRUCTION,Offaly,"Chancery Lane, Tullamore",18,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
661,SHIP CONSTRUCTION,Offaly,"Kylebeg, Banagher (Phase 2)",18,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
662,SHIP CONSTRUCTION,Offaly,"Circular Road, Daingean",7,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
663,SHIP CONSTRUCTION TURNKEY,Offaly,"McGregol, Birr",12,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
664,SHIP CONSTRUCTION TURNKEY,Offaly,"Cluain na Spideoga, Cloghan",6,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
665,SHIP CONSTRUCTION TURNKEY,Offaly,"Mill Race, Ferbane",5,N/A,,,,,,Q4-2017
666,CALF CONSTRUCTION TURNKEY,Roscommon,"Monksfield, Bealnamulla, Athlone",40,Cluid Housing Association,,,,,Q3-2017,
667,CALF CONSTRUCTION TURNKEY,Roscommon,"Monksfield Park, Tuam Road, Athlone",13,Cluid Housing Association,,,,,Q1-2016,
668,CALF CONSTRUCTION TURNKEY,Roscommon,"River Oaks, Kilcolman, Ballaghaderreen",12,Respond!,,,,,Q3-2017,
669,SHIP CONSTRUCTION,Roscommon,"River Oaks, Ballaghaderreen",10,N/A,,,,,,Q4-2017
670,SHIP CONSTRUCTION,Roscommon,"Greenfields, Blackstick Road, Roscommon Town",6,N/A,,,,,,Q3-2017
671,SHIP CONSTRUCTION,Roscommon,Cloonfad,2,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
672,SHIP CONSTRUCTION TURNKEY,Roscommon,"Monksland, Athlone",10,N/A,,,,,Q1-2017,
673,SHIP CONSTRUCTION TURNKEY,Roscommon,"Station Road, Termon, Boyle",10,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
674,CAS CONSTRUCTION,Sligo,"Cuan Iosa, Ballymote",8,Society of Saint Vincent de Paul,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
675,SHIP CONSTRUCTION,Sligo,Knappagh Road,28,N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
676,SHIP CONSTRUCTION,Sligo,"Carrowbunnaun, Strandhill",20,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
677,SHIP CONSTRUCTION,Sligo,Colloney,15,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
678,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (2),14,N/A,,,,,Q1-2017,
679,SHIP CONSTRUCTION,Sligo,Rosses Point,14,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
680,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (1),8,N/A,,,,,,Q4-2017
681,SHIP CONSTRUCTION,Sligo,"Caltragh, Culleens",1,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
682,SHIP CONSTRUCTION,Sligo,"Daghloonagh, Keash - SRD",1,N/A,,,,,,Q4-2016
683,CALF CONSTRUCTION,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin ",84,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
684,CALF CONSTRUCTION,South Dublin,Scholarstown Wood (Apts),6,Circle Voluntary Housing Association,,,,,Q3-2017,
685,CALF CONSTRUCTION,South Dublin,"Station Road, Clondalkin",5,Respond!,,,,,,Q3-2017
686,CALF CONSTRUCTION,South Dublin,Scholarstown Wood (Houses) * Phase 1,3,Circle Voluntary Housing Association,,,,,,Q4-2017
687,CALF CONSTRUCTION,South Dublin,"Tullyhall, Lucan - Phase 1 *",2,Túath Housing Association,,,,,,Q3-2017
688,CALF CONSTRUCTION,South Dublin,"Tullyhall, Lucan - Final Phase*",2,Túath Housing Association,,,,,Q2-2017,
689,CALF CONSTRUCTION,South Dublin,"1 Hollyville Terrace, Palmerstown, Dublin",2,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
690,CALF CONSTRUCTION TURNKEY,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24 ",28,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
691,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin - Phase 1",25,Cluid Housing Association,,,,,,Q1-2017
692,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin",25,Cluid Housing Association,,,,,Q1-2017,
693,CALF CONSTRUCTION TURNKEY,South Dublin,"New Bancroft, Tallaght, Dublin 24*",16,Cluid Housing Association,,,,,,Q4-2017
694,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin - Final Phase ",15,Cluid Housing Association,,,,,,Q3-2017
695,CALF CONSTRUCTION TURNKEY,South Dublin,"Dodderbrook, Oldcourt Road, Ballycullen, Dublin 24 ",14,Cluid Housing Association,,,,,Q1-2017,
696,CALF CONSTRUCTION TURNKEY,South Dublin,"Broadfield Grove, Rathcoole-phase 1 *",10,Oaklee Housing Trust,,,,,,Q3-2017
697,CALF CONSTRUCTION TURNKEY,South Dublin,"Old Nangor Road, Clondalkin, Dublin 22",7,Clanmil Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
698,CALF CONSTRUCTION TURNKEY,South Dublin,Scholarstown Wood (Houses) *Phase 2 ,5,Circle Voluntary Housing Association,,,,,Q3-2017,
699,CALF CONSTRUCTION TURNKEY,South Dublin,"Broadfield Grove, Rathcoole - final phase *",4,Oaklee Housing Trust,,,,,,Q3-2017
700,CALF CONSTRUCTION TURNKEY,South Dublin,"Moyglas Glade, Lucan, Co Dublin*",1,Respond!,,,,,,Q2-2017
701,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community : Dublin Simon,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
702,CAS CONSTRUCTION,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association Ltd,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
703,SHIP CONSTRUCTION,South Dublin,Balgaddy F,50,N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
704,SHIP CONSTRUCTION,South Dublin,"Ballyboden,  Rathfarnham",40,N/A,,,,,Q3-2017,
705,SHIP CONSTRUCTION,South Dublin,"St. Marks Avenue, Clondalkin",39,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
706,SHIP CONSTRUCTION,South Dublin,"Letts Field, Neilstown, Clondalkin",37,N/A,,,,,Q3-2017,
707,SHIP CONSTRUCTION,South Dublin,"Killinarden, Tallaght",28,N/A,,,,,Q3-2017,
708,SHIP CONSTRUCTION,South Dublin,Fortunestown (MacUilliam),28,N/A,,,,,Q2-2017,
709,SHIP CONSTRUCTION,South Dublin,"Mayfield Estate, Clondalkin",18,N/A,,,,,Q1-2017,
710,SHIP CONSTRUCTION,South Dublin,"Dromcarra, Tallaght",14,N/A,,,,,Q2-2017,
711,SHIP CONSTRUCTION,South Dublin,"St Marks Green, Clondalkin",11,N/A,,,,,Q2-2017,
712,SHIP CONSTRUCTION,South Dublin,"Suncroft, Tallaght",10,N/A,,,,,,Q4-2016
713,SHIP CONSTRUCTION,South Dublin,"Belgard Road, Tallaght",3,N/A,,,,,,Q1-2016
714,SHIP CONSTRUCTION,South Dublin,St Finians,2,N/A,,,,,,Q3-2016
715,SHIP CONSTRUCTION RAPID,South Dublin,"St Aidan's,  Brookfield, Tallaght",85,N/A,,,,,Q3-2017,
716,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthbert's, Clondalkin",59,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
717,SHIP CONSTRUCTION RAPID,South Dublin,"Killininny Road, Firhouse (Old Mill, Old Bawn)",24,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
718,CALF CONSTRUCTION,Tipperary,"Ashbury, Roscrea",12,Cluid Housing Association,,,,,,Q2-2017
719,CALF CONSTRUCTION TURNKEY,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary ",19,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017 ,,
720,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
721,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
722,CAS CONSTRUCTION,Tipperary,Fethard,4,Belmont Park Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
723,CAS CONSTRUCTION,Tipperary,"Ballinagrana, Carrick on Suir",3,Camphill Communities of Ireland,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
724,CAS CONSTRUCTION,Tipperary,"The Strand, Carrick on Suir",3,Camphill Communities of Ireland,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
725,CAS CONSTRUCTION,Tipperary,"Castle Street, Carrick on Suir",1,Camphill Communities of Ireland,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
726,SHIP CONSTRUCTION,Tipperary,Knockanrawley,28,N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
727,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
728,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",25,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
729,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",19,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
730,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",18,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
731,SHIP CONSTRUCTION,Tipperary,Borrisokane,17,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
732,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,12,N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
733,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",11,N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
734,SHIP CONSTRUCTION,Tipperary,"Killeanaule Road, Fethard",10,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
735,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",10,N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
736,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",9,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
737,SHIP CONSTRUCTION,Tipperary,Templetouhy,6,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
738,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
739,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,N/A,,,,,,Q4-2016
740,SHIP CONSTRUCTION,Tipperary,"Ard na Greine, Clonmel",2,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
741,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
742,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,N/A,,,"Stage 3 approved in Q4-2015, the scheme is now being tendered.",,,
743,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,2,N/A,,,,,,Q4-2016
744,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,N/A,,,"Stage 3 approved in Q1-2017, the scheme is now being tendered.",,,
745,SHIP CONSTRUCTION,Tipperary,"Mitchels St., Thurles",1,N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
746,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,N/A,,,,,,Q2-2016
747,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,N/A,,,,,,Q2-2016
748,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",1,N/A,,,,,,Q3-2017
749,CALF CONSTRUCTION,Waterford,"St Johns College, Waterford",36,Respond!,,,,,,Q1-2016
750,CALF CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon Road, Dungarvan",20,Co-operative Housing Ireland,,,,,Q1-2017,
751,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Tramore Voluntary Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
752,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,Society of Saint Vincent de Paul,,,,,,Q1-2017
753,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond!,,,,,Q4-2017,
754,CAS CONSTRUCTION,Waterford,"Gleann Ealach, Dunhill",8,Gleann Ealach Housing Association,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
755,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford",6,Anvers Housing Association Ltd,,,,,Q4-2017,
756,CAS CONSTRUCTION,Waterford,"Powersfield, Hennessys Road, Waterford",3,Focus Ireland,,,,,Q4-2017,
757,SHIP CONSTRUCTION,Waterford,"An Garran, Tramore",32,N/A,,,,,Q4-2017,
758,SHIP CONSTRUCTION,Waterford,"Avondale, Kilcohan",21,N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
759,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",20,N/A,,,,,Q4-2017,
760,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,N/A,,,,,,Q4-2016
761,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,N/A,,,,,Q4-2017,
762,SHIP CONSTRUCTION,Waterford,"Ardmore Park/Priory Lawn, Waterford City",8,N/A,,,"Stage 3 approved in Q2-2017, the scheme is now being tendered.",,,
763,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
764,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,N/A,,,,,Q4-2017,
765,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,N/A,,,,,,Q4-2017
766,SHIP CONSTRUCTION,Waterford,"Doyle Street, Waterford City",4,N/A,,,,,Q4-2017,
767,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,N/A,,,,,Q3-2017,
768,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",39,N/A,,,,,Q3-2017,
769,SHIP CONSTRUCTION TURNKEY,Waterford,"Airport Road, Waterford City",33,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
770,SHIP CONSTRUCTION TURNKEY,Waterford,"Carrickphierish, Gracedieu, Waterford",31,N/A,,,,,Q4-2017,
771,SHIP CONSTRUCTION TURNKEY,Waterford,"Gibbethill, Gracedieu",5,N/A,,,,,Q3-2017,
772,SHIP CONSTRUCTION TURNKEY,Waterford,"Shandon, Dungarvan",5,N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
773,CALF CONSTRUCTION TURNKEY,Westmeath,"Glenatore, Coosan, Athlone, Co Westmeath",26,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017 ,,
774,CALF CONSTRUCTION TURNKEY,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath*",12,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017 ,,
775,CALF CONSTRUCTION TURNKEY,Westmeath,"Cluain Mullen, Castlepollard",2,Túath Housing Association,,,,,,Q2-2017
776,CAS CONSTRUCTION,Westmeath,"Springfield, Mullingar",12,Túath Housing Association Ltd,"Stage 1 approved in Q1-2014, outline design and costs are now being prepared.",,,,,
777,CAS CONSTRUCTION,Westmeath,"Canal Avenue, Mullingar",9,Túath Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
778,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",3,Túath Housing Association Ltd,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
779,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Athlone (Arcadia) - Site No. 2",33,N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
780,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 3),33,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
781,SHIP CONSTRUCTION,Westmeath,"Cloghanboy, Athlone",10,N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
782,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,N/A,,,,,Q2-2017,
783,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",4,N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
784,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 2),3,N/A,,,,,,Q2-2016
785,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,N/A,,,,,,Q1-2016
786,SHIP CONSTRUCTION,Westmeath,16 Ennell Court,1,N/A,,,,,Q2-2017,
787,SHIP CONSTRUCTION TURNKEY,Westmeath,Mullingar,21,N/A,,,,,,Q4-2017
788,CALF CONSTRUCTION,Wexford,Meadowfields ,12,Co operative Ireland,,,,,,Q3-2016
789,CALF CONSTRUCTION TURNKEY,Wexford,Enniscorthy,40,Oaklee Housing Trust,,,,,Q3-2017,
